Courier Partner,Couriers,Mode,Min weight,Max weight,Zone A,Zone B,Zone C,Zone D,Zone E,Zone F,COD Amount,COD Percentage,DPH Divisor
Delhivery,Delhivery Surface,FWD,0,500,27.5,30.25,34.1,38.5,45.1,51.7,26,1.8,71.5
Delhivery,Delhivery Surface,RTO,0,500,18.7,22,22,24.2,28.6,33,26,1.8,71.5
Delhivery,Delhivery Surface,DTO,0,500,40.7,45.1,50.6,57.2,67.1,77,26,1.8,71.5
Delhivery,Delhivery Surface,FWD,+,500,24.2,28.6,29.7,33,37.4,44,26,1.8,71.5
Delhivery,Delhivery Surface,RTO,+,500,18.7,22,22,24.2,28.6,33,26,1.8,71.5
Delhivery,Delhivery Surface,DTO,+,500,36.3,42.9,44,49.5,56.1,66,26,1.8,71.5
Delhivery,Delhivery Express,FWD,0,500,28.6,31.35,46.2,54.45,73.7,77,26,1.8,71.5
Delhivery,Delhivery Express,RTO,0,500,25.3,28.6,37.4,45.1,59.4,62.7,26,1.8,71.5
Delhivery,Delhivery Express,DTO,0,500,41.8,46.2,68.2,80.3,110,114.4,26,1.8,71.5
Delhivery,Delhivery Express,FWD,+,500,25.3,29.7,42.9,49.5,67.1,69.3,26,1.8,71.5
Delhivery,Delhivery Express,RTO,+,500,25.3,28.6,37.4,45.1,59.4,62.7,26,1.8,71.5
Delhivery,Delhivery Express,DTO,+,500,37.4,44,63.8,73.7,100.1,100.1,26,1.8,71.5
Bluedart,Bluedart Air Express,FWD,0,500,64.24,87.362,105.347,131.043,146.454,146.454,38.5,2,0
Bluedart,Bluedart Air Express,RTO,0,500,64.24,87.362,105.347,131.043,146.454,146.454,38.5,2,0
Bluedart,Bluedart Air Express,DTO,0,500,141.24,164.362,182.347,208.043,223.454,223.454,38.5,2,0
Bluedart,Bluedart Air Express,FWD,+,500,64.24,87.362,105.347,131.043,146.454,146.454,38.5,2,0
Bluedart,Bluedart Air Express,RTO,+,500,64.24,87.362,105.347,131.043,146.454,146.454,38.5,2,0
Bluedart,Bluedart Air Express,DTO,+,500,141.24,164.362,182.347,208.043,223.454,223.454,38.5,2,0
Bluedart,Bluedart Surface Express,FWD,0,500,53.559,62.876,76.846,86.163,93.148,93.148,38.5,2,0
Bluedart,Bluedart Surface Express,RTO,0,500,53.559,62.876,76.846,86.163,93.148,93.148,38.5,2,0
Bluedart,Bluedart Surface Express,DTO,0,500,130.559,139.876,153.846,163.163,170.148,170.148,38.5,2,0
Bluedart,Bluedart Surface Express,FWD,+,500,53.559,62.876,76.846,86.163,93.148,93.148,38.5,2,0
Bluedart,Bluedart Surface Express,RTO,+,500,53.559,62.876,76.846,86.163,93.148,93.148,38.5,2,0
Bluedart,Bluedart Surface Express,DTO,+,500,130.559,139.876,153.846,163.163,170.148,170.148,38.5,2,0
E-Kart,E-Kart EXPRESS,FWD,0,500,71.5,71.5,92.4,92.4,92.4,92.4,0,0,0
E-Kart,E-Kart EXPRESS,RTO,0,500,0,0,0,0,0,0,0,0,0
E-Kart,E-Kart EXPRESS,DTO,0,500,72.6,74.8,84.7,91.3,141.9,141.9,0,0,0
E-Kart,E-Kart EXPRESS,FWD,+,500,33,33,33,33,33,33,0,0,0
E-Kart,E-Kart EXPRESS,RTO,+,500,0,0,0,0,0,0,0,0,0
E-Kart,E-Kart EXPRESS,DTO,+,500,26.4,29.7,36.3,42.9,60.5,60.5,0,0,0
E-Kart,E-Kart SURFACE,FWD,0,500,64.9,64.9,64.9,64.9,64.9,64.9,0,0,0
E-Kart,E-Kart SURFACE,RTO,0,500,0,0,0,0,0,0,0,0,0
E-Kart,E-Kart SURFACE,DTO,0,500,84.37,84.37,84.37,84.37,84.37,84.37,0,0,0
E-Kart,E-Kart SURFACE,FWD,501,1000,74.8,74.8,74.8,74.8,74.8,74.8,0,0,0
E-Kart,E-Kart SURFACE,RTO,501,1000,0,0,0,0,0,0,0,0,0
E-Kart,E-Kart SURFACE,DTO,501,1000,97.24,97.24,97.24,97.24,97.24,97.24,0,0,0
E-Kart,E-Kart SURFACE,FWD,1001,2000,88,88,88,88,88,88,0,0,0
E-Kart,E-Kart SURFACE,RTO,1001,2000,0,0,0,0,0,0,0,0,0
E-Kart,E-Kart SURFACE,DTO,1001,2000,114.4,114.4,114.4,114.4,114.4,114.4,0,0,0
